List,Order,Item,Condition,Amb,Vis,Half,FirstDisplay,SecondDisplay,sentence,Chinese,Italian,target1,target2,cont
1,1,p1,,,,,p0101.jpg,p0102.jpg,The actor's slippers had been washed. ,演员的拖鞋被洗干净了。,Le pantofole dell'attore sono state lavate.,Adesso si e’ messo le pantofole,Adesso l'attore si e’ messo le pantofole,Fa’ clic sul pulsante “Continua”
2,1,p1,,,,,p0101.jpg,p0102.jpg,The actor's slippers had been washed. ,演员的拖鞋被洗干净了。,Le pantofole dell'attore sono state lavate.,Adesso si e’ messo le pantofole,Adesso l'attore si e’ messo le pantofole,Fa’ clic sul pulsante “Continua”
3,1,p1,,,,,p0101.jpg,p0102.jpg,The actor's slippers had been washed. ,演员的拖鞋被洗干净了。,Le pantofole dell'attore sono state lavate.,Adesso si e’ messo le pantofole,Adesso l'attore si e’ messo le pantofole,Fa’ clic sul pulsante “Continua”
4,1,p1,,,,,p0101.jpg,p0102.jpg,The actor's slippers had been washed. ,演员的拖鞋被洗干净了。,Le pantofole dell'attore sono state lavate.,Adesso si e’ messo le pantofole,Adesso l'attore si e’ messo le pantofole,Fa’ clic sul pulsante “Continua”
1,2,p5,,,,,p0501.jpg,p0502.jpg,The cleaner was watering the flower when the man brought her shocking news.,男人来给她传达新闻的时候，清洁工正在浇花。,L'addetta alle pulizie stava innaffiando i fiori quando l'uomo le ha svelato la scioccante notizia.,Adesso lascia cadere l'innaffiatoio,Adesso l'addetta alle pulizie lascia cadere l'innaffiatoio, 
2,2,p5,,,,,p0501.jpg,p0502.jpg,The cleaner was watering the flower when the man brought her shocking news.,男人来给她传达新闻的时候，清洁工正在浇花。,L'addetta alle pulizie stava innaffiando i fiori quando l'uomo le ha svelato la scioccante notizia.,Adesso lascia cadere l'innaffiatoio,Adesso l'addetta alle pulizie lascia cadere l'innaffiatoio, 
3,2,p5,,,,,p0501.jpg,p0502.jpg,The cleaner was watering the flower when the man brought her shocking news.,男人来给她传达新闻的时候，清洁工正在浇花。,L'addetta alle pulizie stava innaffiando i fiori quando l'uomo le ha svelato la scioccante notizia.,Adesso lascia cadere l'innaffiatoio,Adesso l'addetta alle pulizie lascia cadere l'innaffiatoio, 
4,2,p5,,,,,p0501.jpg,p0502.jpg,The cleaner was watering the flower when the man brought her shocking news.,男人来给她传达新闻的时候，清洁工正在浇花。,L'addetta alle pulizie stava innaffiando i fiori quando l'uomo le ha svelato la scioccante notizia.,Adesso lascia cadere l'innaffiatoio,Adesso l'addetta alle pulizie lascia cadere l'innaffiatoio, 
1,3,p4,,,,,p0201.jpg,p0202.jpg,The teenager found a radio on his way home. ,少年在回家的路上发现了一台收音机。,La pattinatrice ha trovato una radio mentre tornava a casa.,Adesso ha preso la radio,Adesso la pattinatrice ha preso la radio, 
2,3,p4,,,,,p0201.jpg,p0202.jpg,The teenager found a radio on his way home. ,少年在回家的路上发现了一台收音机。,La pattinatrice ha trovato una radio mentre tornava a casa.,Adesso ha preso la radio,Adesso la pattinatrice ha preso la radio, 
3,3,p4,,,,,p0201.jpg,p0202.jpg,The teenager found a radio on his way home. ,少年在回家的路上发现了一台收音机。,La pattinatrice ha trovato una radio mentre tornava a casa.,Adesso ha preso la radio,Adesso la pattinatrice ha preso la radio, 
4,3,p4,,,,,p0201.jpg,p0202.jpg,The teenager found a radio on his way home. ,少年在回家的路上发现了一台收音机。,La pattinatrice ha trovato una radio mentre tornava a casa.,Adesso ha preso la radio,Adesso la pattinatrice ha preso la radio, 
